,air_date,director,episode_description,episode_number,link,rating,rating_count,season,storyline,title,writers
0,17 Dec. 1989,David Silverman,"When Homer receives no holiday bonus, he hopes to make extra money by becoming a Mall Santa, in an attempt to bring the family a happy holiday.",1,http://www.imdb.com/title/tt0348034/?ref_=ttep_ep1,8.2,"3,972",1,"During Christmas at the Simpsons, Bart asks for a tattoo. Marge takes them to the mall to buy presents. Bart sees a tattoo parlor and lies about his age to get a ""Mother"" tattoo. Marge catches Bart while the tattoo parlor is working on it. Marge runs in and drags Bart out. She spends all the Christmas money on removing Bart's tattoo, and Mr. Burns doesn't give out bonuses. Homer then gets a job at the mall as Santa Claus. Bart goes to the mall and pulls off Homer's beard. Homer is then left without a job, and only gets paid $13.00. Will Christmas get any better for the Simpsons?                Written by
TnMovieFan2@aol.com",Simpsons Roasting on an Open Fire,"Mimi Pond, Matt Groening (created by)"
1,14 Jan. 1990,David Silverman,Bart ends up at a school for gifted children after cheating on an IQ test.,2,http://www.imdb.com/title/tt0756593/?ref_=ttep_ep2,7.8,"2,171",1,"Bart is fearing that he will fail an intelligence test, Bart switches exams with Martin Prince. When school psychologist Dr. Pryor studies the results, he thinks that Bart is a genius, and Bart is enrolled into a new school for genius kids. Bart doesn't fit in very well though.                Written by
TnMovieFan2@aol.com",Bart the Genius,"Matt Groening (created by), James L. Brooks (developed by)"
2,21 Jan. 1990,Wesley Archer,"While Bart's class is touring the power plant on a field trip, Homer crashes a cart into a radioactive pipe. In the aftermath, the plant is forced to shut down and Homer loses his job.",3,http://www.imdb.com/title/tt0701124/?ref_=ttep_ep3,7.5,"1,884",1,"Bart's class is on a field trip in the nuclear power plant in Springfield, where his father Homer works. When he breaks a pipe in the building, he is fired from his job, making him miserable. Homer is suddenly desperate for money and steals Bart's piggy bank for money, but all there is are a few cents. Homer feels guilty and he has the thought to threaten to kill himself. But Homer's family stops him and they tell him how much they love him.                Written by
kevindklenke",Homer's Odyssey,"Matt Groening (created by), James L. Brooks (developed by)"
3,28 Jan. 1990,Kent Butterworth,"After being embarrassed by the rest of the family at a company picnic, Homer becomes obsessed with improving their behavior towards each other.",4,http://www.imdb.com/title/tt0756399/?ref_=ttep_ep4,7.8,"1,870",1,"When the Simpsons go to Mr. Burns mansion for a party, Homer looks at all the families that are happy and spend time together. Homer becomes embarrassed that his family isn't as happy as other families, so he finds ways to make his family happier. He eventually finds a family therapist that makes families get along. But it's hard to get the Simpsons to make a family as one.                Written by
kevindklenke",There's No Disgrace Like Home,"Matt Groening (created by), James L. Brooks (developed by)"
4,4 Feb. 1990,David Silverman,"After being beaten up by Nelson Muntz one too many times, Bart turns to Grampa for help, and soon leads a rebellion against the school bully.",5,http://www.imdb.com/title/tt0701059/?ref_=ttep_ep5,8.1,"1,909",1,"Lisa is making cupcakes for her teacher and her family is trying to take one. When Bart and Lisa go to school, the most feared bully, Nelson Muntz, and his goons appear and eat all of Lisa's cupcakes. Bart gets in a fight with him and gets beat up, trying to think of ways of how to beat Nelson. Bart goes to his grandpa for help, and they try to get some of Bart's friends to rebel against Nelson and his goons. Bart leads his team to fight Nelson and his goons and teach him a lesson.                Written by
kevindklenke",Bart the General,Jon Vitti (story editor)
5,11 Feb. 1990,Wesley Archer,"A depressed Lisa's spirit is lifted when she meets a jazz-man, Bleeding Gums Murphy.",6,http://www.imdb.com/title/tt0701178/?ref_=ttep_ep6,7.6,"1,843",1,"Lisa is sent home from school with a note exempting her from games because she is sad,though she perks up when she meets fellow saxophonist Bleeding Gums Murphy and Marge encourages her to express her moods. Homer,meanwhile,sick of always beaten by his son at video games,finds a boy who can teach him to win but,just as he is about to triumph,Marge unplugs the television leaving Bart's victories unchallenged.                Written by
don @ minifie-1",Moaning Lisa,"Matt Groening (created by), James L. Brooks (developed by)"
6,18 Feb. 1990,Wesley Archer,"Jealous of Ned Flanders' new RV, Homer purchases one of his own, but the family's trip into the wilderness soon goes awry.",7,http://www.imdb.com/title/tt0701228/?ref_=ttep_ep7,7.9,"1,796",1,"Ned Flanders shows off his newly purchased (and monstrous) motor home to the Simpsons. In a fit of oneupmanship, Homer decides he needs one too. Homer's credit is very poor, but he wants that motor home, so he buys one whose oil is leaking and appears to be held together by chicken wire and duct tape. With their new motor home, Homer takes the family on an outing in the woods. Homer quickly loses his way and everyone bails from the motor home just before it tumbles into a large ravine. The family is forced to rough it the rest of the way. Maggie becomes separated from the family and takes refuge with a family of bears. Meanwhile, Homer and Bart lose their clothing and have to wear leaves. Homer quickly falls into a stream and becomes covered with mud. A couple staying in the woods, concluding that what they've seen is Bigfoot, takes a picture of Homer and sends it to a TV station. Soon, the woods are crawling with media representatives, hoping to get their own glimpse. A park ranger ...                Written by
Brian Rathjen <briguy_52732@yahoo.com>",The Call of the Simpsons,"Matt Groening (created by), James L. Brooks (developed by)"
7,25 Feb. 1990,Rich Moore,Bart gets more than he bargained for when he saws the head off a statue of the town's founder.,8,http://www.imdb.com/title/tt0756398/?ref_=ttep_ep8,7.7,"1,741",1,"Homer and Bart are being pursued by an angry mob through the streets of Springfield, baying for their blood. It turns out that Bart, hoping to impress the town bullies, sawed the head of the statue of town founder Jedediah Springfield. But when he discovered how appalled they were to find the head gone, enlisted Homer's help in replacing it. After he apologizes to the crowd, they forgive him.                Written by
don @ minifie-1",The Telltale Head,"Matt Groening (created by), James L. Brooks (developed by)"
8,18 Mar. 1990,David Silverman,Marge contemplates an affair with a handsome bowling instructor.,9,http://www.imdb.com/title/tt0701152/?ref_=ttep_ep9,7.5,"1,743",1,"It's Marge's birthday and Homer has to get her a birthday present. Instead of getting a present for Marge, he buys a bowling ball for himself with his name printed on it. Marge is mad that he didn't get her a present and she says she will use it. The following day, she goes to the bowling alley but she doesn't know how to use it. A handsome bowling instructor meets Marge and teaches her how to bowl, but he's really trying to get her to fall in love with him. Marge keeps going to the bowling alley each day to learn and has a deep connection with him. She realizes that she's hanging out with the wrong man and goes to her husband instead.                Written by
kevindklenke",Life on the Fast Lane,"Matt Groening (created by), James L. Brooks (developed by)"
9,25 Mar. 1990,Rich Moore,"After a photograph of Homer canoodling with an exotic dancer is distributed throughout Springfield, he finds himself kicked out of the house by Marge.",10,http://www.imdb.com/title/tt0701123/?ref_=ttep_ep10,7.4,"1,671",1,"Bart uses his new miniature ""spy"" camera to take candid pictures around the household; meanwhile, Homer is preparing to go to a bachelor party for his co-worker at the Springfield Nuclear Power Plant. While at the party, Homer is invited to dance on stage with a stripper. Bart (who is dining with the rest of the family in the next-door restaurant) uses his camera to snap a photo of Homer and the dancer having a great time. At school, Martin develops the picture, which - after he compliments Bart's work - gets distributed around school, and eventually around town. Marge sees the photo and is outraged. Homer arrives home, where Marge immediately confronts her husband and kicks him out of the house. Eventually, Marge agrees to let him back in on the condition he take Bart around to meet the stripper and show that she is not a sex object. After almost winding up on stage at another of the dancer's performances, Homer does as he is asked and all is forgiven.                Written by
Brian Rathjen <briguy_52732@yahoo.com>",Homer's Night Out,"Matt Groening (created by), James L. Brooks (developed by)"
10,15 Apr. 1990,Wesley Archer,"After another of Bart's pranks at school, Principal Skinner suggests he participate in a student exchange program. However, he is sent to France and forced to work all hours in a vineyard, with little chance of escape.",11,http://www.imdb.com/title/tt0701232/?ref_=ttep_ep11,7.8,"1,699",1,"Bart flushes a cherry bomb at school, nearly injuring Principal Skinner's mother, Agnes, in the process. An exasperated Skinner tells Homer and Marge that since expulsion would not do Bart any good, he's placing him in a foreign-exchange student program. Bart is sent to France, where his host family are unethical winemakers who plan to employ him as a slave.                Written by
Brian Rathjen <briguy_52732@yahoo.com>",The Crepes of Wrath,"Matt Groening (created by), James L. Brooks (developed by)"
11,29 Apr. 1990,Brad Bird,"Homer witnesses a robbery at the Kwik-E-Mart, where the culprit is a man dressed like Bart's hero, Krusty the Clown. But there's more than meets the eye?",12,http://www.imdb.com/title/tt0701147/?ref_=ttep_ep12,8.3,"1,885",1,"While shopping at the Kwik-E Mart, Homer is caught in the middle of an armed robbery. The suspect is dressed like Krusty the Clown, Bart's television idol. Homer confirms the identity and is arrested, tried and convicted (under the pretense that he was trying to recoup gambling losses). Bart is convinced that he is innocent, with Lisa's help, eventually deduces that someone was trying to frame him. Tying information together from news reports, their own knowledge and logical reasoning, Bart and Lisa expose Krusty's sidekick, Sideshow Bob as the culprit. Bob, it seems, had grown weary of being the butt of Krusty's physical gags and being part of an inane show, and with Krusty out of the way he could reshape the show into his more scholastic vision. Bob is arrested and swears revenge, while Krusty is freed.                Written by
Brian Rathjen <briguy_52732@yahoo.com>",Krusty Gets Busted,"Matt Groening (created by), James L. Brooks (developed by)"
12,13 May 1990,Kent Butterworth,"Homer and Marge enjoy a night out on the town, while the kids deal with a diabolical babysitter, with a surprising secret.",13,http://www.imdb.com/title/tt0701215/?ref_=ttep_ep13,7.9,"1,724",1,"Marge and Homer want to have a second honeymoon at a hotel but,due to Bart's naughtiness, have trouble in finding a baby-sitter, until the stern-looking Ms. Botz arrives. In fact, she is the notorious Baby-Sitter Bandit who robs the houses in her care but the kids manage to overpower her - although an unaware Homer releases her again, and she escapes, leaving the news channel to label him a local boob.                Written by
don @ minifie-1",Some Enchanted Evening,"Matt Groening (created by), James L. Brooks (developed by)"
13,11 Oct. 1990,David Silverman,"Mrs. Krabappel becomes fed up with Bart's lackadaisical approach to his studies. After he bluffs his way through a book report and fails a history exam, she gives him an ultimatum: shape up or repeat the fourth grade.",1,http://www.imdb.com/title/tt0763024/?ref_=ttep_ep1,8.2,"1,823",2,"Bart disappoints Marge yet again by his appalling history grades and the school psychiatrist reckons that unless he shapes up, he must sit the fourth grade again next year. But if he can successfully pass the history paper one last time he will be clear. Since Martin refuses to help, Bart prays for a miracle - which comes in the form of a snow storm which closes the school and gives him extra revision time.                Written by
don @ minifie-1",Bart Gets an F,"Matt Groening (created by), James L. Brooks (developed by)"
14,18 Oct. 1990,Rich Moore,Homer lies on a medical insurance form in order to obtain a miracle hair restoring drug.,2,http://www.imdb.com/title/tt0701211/?ref_=ttep_ep2,8.3,"1,765",2,"Prematurely bald Homer sees an opportunity to restore his hair with Dimoxinil but it is very expensive and he obtains it via an insurance scam. Seeing him with a full head of hair Burns promotes him to an executive position with an adoring male secretary, Karl,who encourages Homer to bring out his strengths. But when the jealous Smithers discovers the fraud,the effects of the Dimoxinil wear off and Bart breaks the bottle,spilling the rest,it's back to normal for Homer.                Written by
don @ minifie-1",Simpson and Delilah,"Matt Groening (created by), James L. Brooks (developed by)"
